

Results from heasarc_wisehspcat: 2WHSP Catalog of High Synchrotron Peaked Blazars and Candidates
Coordinate system:  Equatorial
|name                  |ra        |dec      |lii     |bii     |source_flag|bzcat_object_type|log_nu_peak_limit|log_nu_peak|log_nu_peak_flag|log_nu_f_nu_limit|log_nu_f_nu|log_nu_f_nu_flag|redshift_limit|redshift|redshift_flag|ref_redshift|fermi_lat_detection|gamma_ray_index|gamma_ray_index_error|twofhl_name     |figure_of_merit|
|2WHSP J045823.5-864408|04 58 23.5|-86 44 08|299.6559|-28.6358|           |                 |                 |       16.0|:               |                 |      -12.3|:               |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J211011.1-861847|21 10 11.1|-86 18 47|306.4041|-29.1836|           |                 |                 |       15.4|                |                 |      -12.0|                |              |        |             |            |3FGL J2108.6-8619  |           1.74|                 0.26|2FHL J2112.5-861|           0.20|
|2WHSP J153103.7-861225|15 31 03.7|-86 12 25|305.5986|-24.1936|           |                 |                 |       15.6|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J102634.3-854314|10 26 34.3|-85 43 14|300.1731|-23.6490|           |5BZB             |                 |       15.0|                |                 |      -11.5|                |              |        |             |            |3FGL J1026.4-8542  |           2.01|                 0.08|2FHL J1026.9-854|           0.63|
|2WHSP J222610.9-840621|22 26 10.9|-84 06 21|307.0361|-31.8176|           |                 |                 |       16.1|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J212125.3-831914|21 21 25.3|-83 19 14|309.1162|-31.0577|           |                 |                 |       16.0|                |                 |      -12.4|                |              |        |             |            |                   |               |                     |                |           0.08|
|2WHSP J150525.3-824230|15 05 25.3|-82 42 30|307.2343|-20.9834|           |                 |                 |       17.3|                |                 |      -12.1|                |              |        |             |            |3FGL J1504.5-8242  |           2.30|                 0.16|                |           0.16|
|2WHSP J050552.0-814358|05 05 52.0|-81 43 58|294.3312|-30.5395|           |                 |                 |       15.6|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J052343.3-814201|05 23 43.3|-81 42 01|294.0419|-29.9462|           |                 |                 |       15.4|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J111806.7-813619|11 18 06.7|-81 36 19|299.4179|-19.3776|           |                 |                 |       16.7|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J004715.1-811135|00 47 15.1|-81 11 35|303.1298|-35.9336|           |                 |                 |       15.7|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J061518.1-782829|06 15 18.1|-78 28 29|289.9765|-28.3405|           |                 |                 |       16.3|                |                 |      -12.0|                |              |   0.111|             |            |                   |               |                     |                |           0.20|
|2WHSP J113031.9-780105|11 30 31.9|-78 01 05|298.6535|-15.8237|           |                 |                 |       16.9|                |                 |      -11.3|                |              |        |             |            |3FGL J1130.7-7800  |           1.74|                 0.13|2FHL J1130.4-780|           1.00|
|2WHSP J201200.9-771219|20 12 00.9|-77 12 19|316.9444|-30.8331|           |                 |                 |       17.2|                |                 |      -12.0|                |              |        |             |            |Arsioli2016        |           2.07|                 0.29|                |           0.20|
|2WHSP J095304.3-765801|09 53 04.3|-76 58 01|293.3744|-17.5363|           |                 |                 |       16.0|                |                 |      -11.6|                |              |        |             |            |3FGL J0953.1-7657c |           1.91|                 0.15|                |           0.50|
|2WHSP J034323.5-761448|03 43 23.5|-76 14 48|291.2667|-36.7043|U          |                 |                 |       15.1|:               |                 |      -12.2|:               |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J145543.6-760051|14 55 43.6|-76 00 51|310.3504|-14.9653|           |                 |                 |       16.0|                |                 |      -11.7|                |              |        |             |            |Arsioli2016        |           1.54|                 0.14|                |           0.40|
|2WHSP J235116.0-760015|23 51 16.0|-76 00 15|307.6716|-40.5654|           |                 |                 |       15.5|                |                 |      -12.3|                |              |        |             |            |3FGL J2351.9-7601  |           1.69|                 0.16|2FHL J2352.0-755|           0.10|
|2WHSP J081343.4-754757|08 13 43.4|-75 47 57|288.6476|-21.4281|           |                 |                 |       15.6|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J172746.3-754618|17 27 46.3|-75 46 18|317.2018|-21.3400|           |                 |                 |       15.6|                |                 |      -11.9|                |              |        |             |            |                   |               |                     |                |           0.25|
|2WHSP J053629.8-752411|05 36 29.8|-75 24 11|286.7853|-30.8844|           |                 |                 |       16.1|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           1.26|
|2WHSP J011231.3-750616|01 12 31.3|-75 06 16|301.1124|-41.9492|           |                 |                 |       15.0|                |                 |      -12.2|                |              |        |             |            |3FGL J0112.9-7506  |           2.17|                 0.17|                |           0.13|
|2WHSP J192242.2-745356|19 22 42.2|-74 53 56|319.9531|-28.1493|           |                 |                 |       16.4|                |                 |      -12.2|                |              |        |             |            |3FGL J1923.2-7452  |           2.22|                 0.10|2FHL J1922.4-745|           0.13|
|2WHSP J060736.4-742336|06 07 36.4|-74 23 36|285.3562|-28.9919|           |                 |                 |       15.0|:               |                 |      -12.6|:               |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J233920.8-740435|23 39 20.8|-74 04 35|309.5032|-42.1195|           |                 |                 |       15.9|                |                 |      -11.8|                |              |        |             |            |3FGL J2338.7-7401  |           1.89|                 0.11|                |           0.32|
|2WHSP J174108.8-733813|17 41 08.8|-73 38 13|319.6758|-21.2117|           |                 |                 |       16.4|                |                 |      -12.1|                |              |        |             |            |                   |               |                     |                |           0.16|
|2WHSP J204201.9-731913|20 42 01.9|-73 19 13|320.7336|-33.7339|           |                 |                 |       16.5|                |                 |      -12.2|                |              |        |             |            |3FGL J2041.9-7318  |           2.21|                 0.17|                |           0.13|
|2WHSP J050912.7-731754|05 09 12.7|-73 17 54|284.8887|-33.1675|           |                 |                 |       16.2|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J143342.7-730437|14 33 42.7|-73 04 37|310.3027|-11.6858|           |                 |&gt;                |       17.5|                |&gt;                |      -11.5|                |              |        |             |            |Arsioli2016        |           1.26|                 0.23|                |           0.63|
|2WHSP J224434.9-723314|22 44 34.9|-72 33 14|315.0704|-41.4520|           |                 |                 |       15.3|                |                 |      -12.3|                |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J192527.1-722044|19 25 27.1|-72 20 44|322.8531|-28.3216|           |                 |                 |       15.3|                |                 |      -11.9|                |              |        |             |            |                   |               |                     |                |           0.25|
|2WHSP J204008.2-711458|20 40 08.2|-71 14 58|323.1660|-34.2247|           |                 |                 |       17.8|                |                 |      -11.2|                |              |   0.161|             |            |3FGL J2040.2-7115  |           1.80|                 0.11|2FHL J2040.9-711|           1.26|
|2WHSP J071908.5-705402|07 19 08.5|-70 54 02|282.2181|-23.3138|           |                 |                 |       16.6|                |                 |      -12.6|                |              |        |             |            |                   |               |                     |                |           0.05|
|2WHSP J030313.6-705026|03 03 13.6|-70 50 26|288.9169|-42.5196|           |                 |                 |       15.5|                |                 |      -12.0|                |              |        |             |            |                   |               |                     |                |           0.20|
|2WHSP J032009.1-704533|03 20 09.1|-70 45 33|287.4826|-41.6203|           |                 |&gt;                |       17.0|                |&gt;                |      -12.0|                |              |        |             |            |Arsioli2016        |           1.75|                 0.21|                |           0.20|
|2WHSP J033202.2-703947|03 32 02.2|-70 39 47|286.5094|-40.9587|           |                 |                 |       16.6|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J081011.9-703047|08 10 11.9|-70 30 47|283.4989|-19.2585|           |                 |                 |       16.3|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J064850.3-694521|06 48 50.3|-69 45 21|280.3810|-25.5507|           |                 |                 |       17.1|                |                 |      -11.8|                |              |        |             |            |                   |               |                     |                |           0.32|
|2WHSP J231347.8-692330|23 13 47.8|-69 23 30|314.8887|-45.4026|           |                 |                 |       17.5|                |                 |      -11.9|                |              |        |             |            |3FGL J2312.9-6923  |           1.80|                 0.21|                |           0.25|
|2WHSP J055734.3-685340|05 57 34.3|-68 53 40|279.0804|-30.0018|           |                 |                 |       15.2|                |                 |      -12.5|                |              |        |             |            |                   |               |                     |                |           0.06|
|2WHSP J054655.2-685133|05 46 55.2|-68 51 33|279.1012|-30.9618|           |                 |                 |       17.2|                |                 |      -12.2|                |              |        |             |            |                   |               |                     |                |           0.13|
|2WHSP J035257.4-683117|03 52 57.4|-68 31 17|282.7989|-40.7842|           |                 |                 |       18.1|                |                 |      -11.0|                |              |   0.087|             |            |3FGL J0353.0-6831  |           1.61|                 0.18|2FHL J0352.7-683|           2.00|
|2WHSP J095813.0-675241|09 58 13.0|-67 52 41|287.7130|-10.2838|           |                 |                 |       16.2|                |                 |      -11.6|                |              |        |             |            |3FGL J0958.4-6752  |           2.21|                 0.14|                |           0.50|
|2WHSP J065932.8-674350|06 59 32.8|-67 43 50|278.3976|-24.2075|           |                 |                 |       16.4|                |                 |      -12.1|                |              |        |             |            |Arsioli2016        |           1.53|                 0.21|                |           0.16|
|2WHSP J230526.9-674304|23 05 26.9|-67 43 04|317.1269|-46.3809|           |                 |                 |       17.2|                |                 |      -12.8|                |              |        |             |            |                   |               |                     |                |           0.03|
|2WHSP J000215.1-672653|00 02 15.1|-67 26 53|310.0826|-48.9917|           |                 |                 |       15.9|                |                 |      -11.9|                |              |        |             |            |3FGL J0002.0-6722  |           1.95|                 0.15|                |           0.25|
|2WHSP J002209.4-670509|00 22 09.4|-67 05 09|307.3392|-49.7911|U          |                 |                 |       16.0|:               |                 |      -12.3|:               |              |        |             |            |                   |               |                     |                |           0.10|
|2WHSP J161046.3-664900|16 10 46.3|-66 49 00|320.7870|-11.1380|           |5BZB             |                 |       15.8|                |                 |      -11.0|                |              |        |             |            |3FGL J1610.8-6649  |           1.77|                 0.04|2FHL J1610.5-665|           2.00|
|2WHSP J135340.1-663956|13 53 40.1|-66 39 56|309.0495| -4.5358|           |                 |                 |       15.5|                |                 |      -11.4|                |              |        |             |            |3FGL J1353.5-6640  |           1.91|                 0.10|2FHL J1353.5-664|           0.79|
