#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-12-10T05:56:13 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5fd1ae19b206	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:J/A+A/632/A77&tab:{J/A+A/632/A77/3hsp-v9}&key:source=J/A+A/632/A77/3hsp-v9&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/632/A77/3hsp-v9
#-order=I
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=sflag
#-out=BZCat
#-out=lognu
#-out=lognufnu
#-out=f_lognu
#-out=z
#-out=f_z
#-out=Gamma
#-out=FOM
#-out=WHSP
#

#RESOURCE=yCat_36320077
#Name: J/A+A/632/A77
#Title: 3HSP blazars catalog (Chang+, 2019)
#Table	J_A_A_632_A77_3hsp-v9:
#Name: J/A+A/632/A77/3hsp-v9
#Title: The 3HSP catalog (table 1)
#Column	_RAJ2000	(A13)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A13)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(A20)	Designation (3HSPJHHMMSS.s+DDMMSS)	[ucd=meta.id;phys.atmol.configuration]
#Column	RAJ2000	(F9.5)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	sflag	(I1)	[0/4] Source Flag (1)	[ucd=meta.code]
#Column	BZCat	(A14)	BZCat counterpart (5BZ[BGU]JHHMMSS.s+DDMMSS)	[ucd=meta.id.cross]
#Column	lognu	(F4.1)	Log Synchrotron peak frequency	[ucd=em.freq;stat.max]
#Column	lognufnu	(F5.1)	Log Synchrotron peak flux (erg/cm^2^/s)	[ucd=phot.flux.density;em.gamma.hard]
#Column	f_lognu	(I1)	[1/3] Synchrotron peak estimation flag (G1)	[ucd=meta.code]
#Column	z	(F7.4)	? Redshift	[ucd=src.redshift]
#Column	f_z	(I1)	[0/5]? Redshift flag (G1) [NULL integer written as an empty string]	[ucd=meta.code]
#Column	Gamma	(A18)	Fermi gamma-ray counterpart	[ucd=meta.id.cross]
#Column	FOM	(F5.2)	Figure of Merit (G2)	[ucd=meta.code.qual]
#Column	WHSP	(A21)	2WHSP counterpart (2WHSPJHHMMSS.s+DDMMSS)	[ucd=meta.id.cross]
_RAJ2000|_DEJ2000|Name|RAJ2000|DEJ2000|sflag|BZCat|lognu|lognufnu|f_lognu|z|f_z|Gamma|FOM|WHSP
"h:m:s"|"d:m:s"| |deg|deg| | |[Hz]|[mW/m2]| | | | | |
-------------|-------------|--------------------|---------|---------|-|--------------|----|-----|-|-------|-|------------------|-----|---------------------
00 01 16.3704|+29 35 34.692|3HSPJ000116.4+293534|000.31821|+29.59297|1|              |16.0|-12.9|2| 0.5800|5|                  | 0.05|2WHSPJ000116.3+293534
00 01 17.0808|-31 50 43.800|3HSPJ000117.1-315043|000.32117|-31.84550|1|              |15.5|-12.3|2| 0.4500|4|                  | 0.20|2WHSPJ000116.9-315043
00 01 32.7408|-41 55 25.104|3HSPJ000132.7-415525|000.38642|-41.92364|4|              |15.8|-11.7|1|       | |4FGL J0001.6-4156 | 0.79|2WHSPJ000132.6-415524
00 01 58.1400|-11 50 47.004|3HSPJ000158.1-115047|000.49225|-11.84639|1|              |16.2|-12.5|1| 0.5300|5|                  | 0.13|2WHSPJ000158.0-115047
00 02 15.1896|-67 26 53.412|3HSPJ000215.2-672653|000.56329|-67.44817|0|              |15.8|-11.8|1| 0.5200|3|4FGL J0002.1-6728 | 0.63|2WHSPJ000215.1-672653
00 02 36.0600|-08 15 32.400|3HSPJ000236.1-081532|000.65025|-08.25900|1|              |16.0|-12.3|1| 0.3900|5|                  | 0.20|2WHSPJ000236.0-081532
00 03 19.5600|-52 47 27.384|3HSPJ000319.6-524727|000.83150|-52.79094|0|              |16.9|-11.9|1| 0.3700|5|4FGL J0003.1-5248 | 0.50|2WHSPJ000319.5-524726
00 05 13.7208|-26 14 38.184|3HSPJ000513.7-261438|001.30717|-26.24394|0|              |15.4|-12.6|1| 0.3200|1|                  | 0.10|2WHSPJ000513.6-261438
00 05 52.9896|-28 45 03.888|3HSPJ000553.0-284503|001.47079|-28.75108|1|              |15.4|-12.5|1| 0.5700|5|                  | 0.13|2WHSPJ000552.9-284502
00 06 26.8992|+01 36 10.584|3HSPJ000626.9+013610|001.61208|+01.60294|0|              |16.4|-12.6|1| 0.7870|2|4FGL J0006.4+0135 | 0.10|2WHSPJ000626.8+013610
00 07 01.5912|+51 05 00.204|3HSPJ000701.6+510500|001.75663|+51.08339|0|              |16.1|-12.4|1| 0.4700|5|                  | 0.16|2WHSPJ000701.5+510459
00 08 35.3808|-23 39 27.792|3HSPJ000835.4-233927|002.14742|-23.65772|0|5BZBJ0008-2339|17.0|-11.7|1| 0.1470|1|4FGL J0008.4-2339 | 0.79|2WHSPJ000835.2-233926
00 09 22.7496|+50 30 28.692|3HSPJ000922.7+503028|002.34479|+50.50797|0|5BZBJ0009+5030|15.1|-11.8|1| 0.2500|5|4FGL J0009.3+5030 | 0.63|2WHSPJ000922.6+503028
00 09 49.7496|-43 16 50.088|3HSPJ000949.7-431650|002.45729|-43.28058|0|              |15.3|-12.0|1| 0.2300|4|4FGL J0009.8-4317 | 0.40|2WHSPJ000949.6-431650
00 09 57.2208|+13 40 58.908|3HSPJ000957.2+134058|002.48842|+13.68303|0|              |16.3|-12.1|1| 0.4300|5|                  | 0.32|2WHSPJ000957.1+134058
